code_muni,iptu,ano_da_lei,cadastro_imo,cad_im_info,planta _gen,planta_gen_info,lei_zoneamento,lei_parcelamento,codigo_obras,lei_contribuicao,plano_diretor,reg_fund,leg_zn_esp,leg_impac_amb
1100015,1,1988,1,1,1,1,1,1,1,1,1,1,1,1
1100023,1,2005,1,1,1,0,1,1,1,1,1,1,1,0
1100031,1,1989,1,1,1,1,1,1,0,1,0,1,0,0
1100049,1,2009,1,1,1,1,1,1,1,1,1,1,1,1
1100056,1,1985,1,1,1,1,0,1,1,0,1,0,0,0
1100064,1,2009,1,1,1,1,1,1,1,1,1,1,1,0
1100072,1,1993,1,1,1,0,0,1,1,1,0,0,0,0
1100080,1,2005,1,1,1,1,1,1,1,1,0,0,1,1
1100098,1,2010,1,1,1,1,1,1,1,1,1,0,1,1
1100106,1,2011,1,1,1,1,1,1,1,1,0,0,1,0
1100114,1,2008,1,1,1,1,1,1,1,1,1,1,1,1
1100122,1,1983,1,1,1,1,1,1,1,1,1,0,1,1
1100130,1,1999,1,1,1,1,1,1,1,1,1,1,1,1
1100148,1,2010,1,1,1,1,1,1,0,1,0,1,0,0
1100155,1,2015,1,1,1,0,1,1,1,1,1,1,1,0
1100189,1,2013,1,1,1,1,1,1,1,1,1,1,1,1
1100205,1,2004,1,1,1,1,1,1,1,1,1,0,1,0
1100254,1,2015,1,1,1,1,1,1,1,1,1,1,1,0
1100262,1,2010,1,1,1,1,0,0,0,0,0,0,0,0
1100288,1,2009,1,1,1,1,1,1,1,1,1,1,1,1
1100296,1,2001,1,1,1,0,0,0,0,0,0,0,0,0
1100304,1,2001,1,1,1,1,1,1,1,1,1,1,1,0
1100320,1,2011,1,1,1,1,1,1,1,1,1,1,1,1
1100338,1,1990,1,1,1,1,1,1,1,1,1,1,1,1
1100346,1,1997,1,1,1,1,1,1,1,1,1,1,1,1
1100379,1,1998,1,1,1,0,1,1,1,1,1,0,1,0
1100403,1,1994,1,1,1,1,1,1,1,0,0,0,0,0
1100452,1,2013,1,1,1,1,1,1,1,1,1,1,1,1
1100502,1,2013,1,0,1,0,0,0,0,0,0,0,0,0
1100601,1,1995,1,1,1,1,1,1,0,0,1,1,1,0
1100700,1,1997,1,1,1,1,0,0,0,1,0,0,0,0
1100809,1,1998,1,1,1,1,1,1,0,1,1,1,1,1
1100908,1,2006,1,1,1,1,1,1,1,1,0,0,0,1
1100924,1,2009,1,1,1,1,1,1,1,1,0,0,0,0
1100940,1,2012,1,1,1,1,1,1,1,0,0,1,1,0
1101005,1,1995,1,1,1,1,1,0,0,0,0,1,0,0
1101104,1,2005,1,1,1,1,1,0,0,1,0,1,0,0
1101203,1,1994,1,1,1,1,1,1,1,1,0,0,1,0
1101302,1,1998,1,1,1,0,1,1,1,1,0,1,1,1
1101401,1,1992,1,1,1,1,1,0,1,1,0,0,0,1
1101435,1,1999,1,1,1,0,0,0,1,1,0,0,1,0
1101450,1,2001,1,1,1,1,0,0,0,0,0,0,0,0
1101468,1,2011,1,1,1,1,0,0,0,0,0,0,0,0
1101476,1,2005,1,1,1,1,0,0,0,0,0,1,0,0
1101484,1,1997,1,1,1,1,1,1,1,0,0,1,0,0
1101492,1,2012,1,1,1,1,1,1,1,1,1,1,0,0
1101500,1,1997,1,1,1,1,0,0,0,1,0,0,0,0
1101559,1,2005,1,1,1,0,1,1,1,1,0,0,0,0
1101609,1,2012,1,1,1,1,0,1,1,0,0,0,0,0
1101708,1,2014,1,1,1,1,1,1,1,1,1,0,0,0
1101757,1,1994,1,0,1,1,1,1,1,1,0,1,0,1
1101807,1,2006,1,1,1,1,1,1,1,1,0,0,1,0
