municipio,codigo,receita_corrente,divida_consolidada,pessoal_encargos,cap_pag_div,eq1_cap_pag_div
Prefeitura Municipal de Alta Floresta D'Oeste - RO,1100015,59833589.38,0,34081155.41,0,2.8928819
Prefeitura Municipal de Ariquemes - RO,1100023,252355544.91,69641562,136331997.28,.60023648,2.9125497
Prefeitura Municipal de Cabixi - RO,1100031,24340890.89,0,11258441.66,0,2.8928819
Prefeitura Municipal de Cacoal - RO,1100049,189276052.55,22684714,104150315.93,.2664848,2.9016137
Prefeitura Municipal de Cerejeiras - RO,1100056,49441223.76,2429207,22555803.57,.090354063,2.8958426
Prefeitura Municipal de Colorado do Oeste - RO,1100064,46153091.02,1488308,21899183.05,.061363637,2.8948927
Prefeitura Municipal de Corumbiara - RO,1100072,31607814.88,0,16332505.56,0,2.8928819
Prefeitura Municipal de Costa Marques - RO,1100080,41104979.2,7862902,18701487.44,.35096771,2.904382
Prefeitura Municipal de Espigão D'Oeste - RO,1100098,72440177.98,0,35475657.97,0,2.8928819
Prefeitura Municipal de Guajará-Mirim - RO,1100106,94523396.38,40150894,54762159.19,1.0098,2.9259696
Prefeitura Municipal de Jaru - RO,1100114,127063768.04,34897549,64893590.52,.56132299,2.9112747
Prefeitura Municipal de Ji-Paraná - RO,1100122,259854088.25,31951057,133766534.5,.25340372,2.901185
Prefeitura Municipal de Machadinho D'Oeste - RO,1100130,85268630.33,13249469,48105629.15,.35652313,2.9045639
Prefeitura Municipal de Nova Brasilândia D'Oeste - RO,1100148,52636852.13,1828199,25242585.4,.066736557,2.8950686
Prefeitura Municipal de Ouro Preto do Oeste - RO,1100155,100361221.74,2417196,57649122.77,.05659277,2.8947363
Prefeitura Municipal de Pimenta Bueno - RO,1100189,95709710.28,14961504,50534494.86,.33118832,2.903734
Prefeitura Municipal de Porto Velho - RO,1100205,1451724305.04,387558911,777104405.89,.57448483,2.911706
Prefeitura Municipal de Presidente Médici - RO,1100254,47874455.39,23384768,25345223.07,1.0379745,2.9268928
Prefeitura Municipal de Rio Crespo - RO,1100262,19205586.42,142700,9785382.15,.015148291,2.8933783
Prefeitura Municipal de Rolim de Moura - RO,1100288,122747736.35,23385514,70481421.52,.44742993,2.9075427
Prefeitura Municipal de Santa Luzia D'Oeste - RO,1100296,25936678.64,0,13556394.28,0,2.8928819
Prefeitura Municipal de Vilhena - RO,1100304,263174583.33,128095486,143402385.72,1.0694927,2.9279256
Prefeitura Municipal de São Miguel do Guaporé - RO,1100320,64040420.16,1187355,34197907.09,.039787367,2.8941855
Prefeitura Municipal de Nova Mamoré - RO,1100338,63204022.01,0,35715040.74,0,2.8928819
Prefeitura Municipal de Alvorada D'Oeste - RO,1100346,43299579.77,5996449,24365502.37,.31670141,2.9032593
Prefeitura Municipal de Alto Alegre dos Parecis - RO,1100379,36914102.07,4605477,20484622.16,.28031787,2.9020669
Prefeitura Municipal de Alto Paraíso - RO,1100403,41139832.37,948500,20485482.13,.045922529,2.8943868
Prefeitura Municipal de Buritis - RO,1100452,80290539.68000001,0,42152256.97,0,2.8928819
Prefeitura Municipal de Novo Horizonte do Oeste - RO,1100502,26765840.68,9571726,13434032.41,.71796155,2.9164071
Prefeitura Municipal de Cacaulândia - RO,1100601,24330547.34,0,10232056.9,0,2.8928819
Prefeitura Municipal de Campo Novo de Rondônia - RO,1100700,43759881.42,0,23046704.88,0,2.8928819
Prefeitura Municipal de Candeias do Jamari - RO,1100809,52461351.95,14278482,35391712.95,.83648413,2.9202907
Prefeitura Municipal de Castanheiras - RO,1100908,19780885.01,0,9961274.23,0,2.8928819
Prefeitura Municipal de Chupinguaia - RO,1100924,43349699.86,0,20171317.52,0,2.8928819
Prefeitura Municipal de Cujubim - RO,1100940,47609971.03,0,24386704.71,0,2.8928819
Prefeitura Municipal de Governador Jorge Teixeira - RO,1101005,29598591.71,0,16333155.64,0,2.8928819
Prefeitura Municipal de Itapuã do Oeste - RO,1101104,33395242.12,2118762,14248312.93,.11065806,2.8965077
Prefeitura Municipal de Ministro Andreazza - RO,1101203,27732084.06,334839,13709017.73,.023877731,2.8936644
Prefeitura Municipal de Mirante da Serra - RO,1101302,30554647.85,0,15370004.78,0,2.8928819
Prefeitura Municipal de Monte Negro - RO,1101401,40413242.04,9695118,21284447.46,.50683373,2.9094892
Prefeitura Municipal de Nova União - RO,1101435,22025937,0,11147828.27,0,2.8928819
Prefeitura Municipal de Parecis - RO,1101450,21760002.03,712578,9763228.109999999,.05939747,2.8948281
Prefeitura Municipal de Pimenteiras do Oeste - RO,1101468,22897098.63,0,8976223.23,0,2.8928819
Prefeitura Municipal de Primavera de Rondônia - RO,1101476,16807139.71,0,7827967.17,0,2.8928819
Prefeitura Municipal de São Felipe D'Oeste - RO,1101484,21522012.46,0,9567142.73,0,2.8928819
Prefeitura Municipal de São Francisco do Guaporé - RO,1101492,56596722.72,0,22791681.79,0,2.8928819
Prefeitura Municipal de Seringueiras - RO,1101500,39443243.79,343534,18513275.22,.016413499,2.8934197
Prefeitura Municipal de Teixeirópolis - RO,1101559,18737133.97,0,8413126.49,0,2.8928819
Prefeitura Municipal de Theobroma - RO,1101609,35309603.31,12026763,17165640.9,.66285205,2.9146013
Prefeitura Municipal de Urupá - RO,1101708,34951137.32,0,17456110.85,0,2.8928819
Prefeitura Municipal de Vale do Anari - RO,1101757,30884016.33,3534034,16297321.27,.24227791,2.9008205
Prefeitura Municipal de Vale do Paraíso - RO,1101807,25241744.03,0,12766845.35,0,2.8928819
Prefeitura Municipal de Acrelândia - AC,1200013,31332246.8,150522,16665570.79,.010262857,2.8932183
Prefeitura Municipal de Assis Brasil - AC,1200054,21262558.42,-169389,11610524.76,-.017549565,2.8923068
Prefeitura Municipal de Brasiléia - AC,1200104,56508622.66,9982955,27764629.4,.34730577,2.9042621
Prefeitura Municipal de Bujari - AC,1200138,22611032.25,1939824,12979338.39,.20140009,2.8994811
Prefeitura Municipal de Capixaba - AC,1200179,26896445.4,-1051386,13929226.87,-.081080303,2.8902252
