code_muni,edu,saude,assit_des_soc,turismo,cultura,habitacao,meio_ambiente,transporte,des_urbano,san_bas,gest_agua,res_solid,soma,eq1
1100015,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1100023,0,0,0,0,0,0,0,0,0,1,0,1,2,1.8333334
1100031,0,0,0,0,0,0,0,0,0,0,0,1,1,1.4166666
1100049,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1100056,0,0,0,0,0,0,0,0,0,0,0,1,1,1.4166666
1100064,0,0,0,0,0,0,0,0,0,0,0,1,1,1.4166666
1100072,0,0,0,0,0,0,0,0,0,1,0,0,1,1.4166666
1100080,0,0,0,0,0,0,0,0,0,0,0,1,1,1.4166666
1100098,0,0,0,0,0,0,0,0,0,0,0,1,1,1.4166666
1100106,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1100114,0,0,0,0,0,0,0,0,0,0,0,1,1,1.4166666
1100122,0,1,0,0,0,0,0,0,0,1,0,1,3,2.25
1100130,0,0,0,0,0,0,0,0,0,0,0,1,1,1.4166666
1100148,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1100155,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1100189,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1100205,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1100254,0,1,0,0,0,0,0,0,0,0,0,0,1,1.4166666
1100262,0,0,0,0,0,0,0,0,0,1,0,1,2,1.8333334
1100288,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1100296,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1100304,0,0,0,0,0,0,0,0,1,0,0,0,1,1.4166666
1100320,0,1,0,0,0,0,0,0,0,0,0,1,2,1.8333334
1100338,1,1,0,0,0,0,0,0,0,0,0,1,3,2.25
1100346,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1100379,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1100403,0,1,0,0,0,0,1,0,0,1,0,1,4,2.6666667
1100452,0,0,0,0,0,0,0,0,0,0,0,1,1,1.4166666
1100502,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1100601,1,1,1,0,1,0,1,0,1,0,0,1,7,3.9166667
1100700,0,0,0,0,0,0,0,0,0,1,0,0,1,1.4166666
1100809,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1100908,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1100924,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1100940,0,0,0,0,0,0,0,0,0,0,0,1,1,1.4166666
1101005,0,0,0,0,0,0,1,0,0,0,0,0,1,1.4166666
1101104,0,0,0,0,0,0,0,0,0,1,0,1,2,1.8333334
1101203,0,0,0,0,0,0,1,0,0,0,0,1,2,1.8333334
1101302,0,1,0,0,0,0,0,0,0,0,0,1,2,1.8333334
1101401,0,0,0,0,0,0,1,0,0,1,0,1,3,2.25
1101435,0,1,0,0,0,0,0,0,0,0,0,0,1,1.4166666
1101450,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1101468,0,0,0,0,0,0,0,0,0,0,0,1,1,1.4166666
1101476,0,0,0,0,0,0,1,0,0,0,0,0,1,1.4166666
1101484,0,0,0,0,0,0,1,0,0,0,0,0,1,1.4166666
1101492,0,1,0,0,0,0,0,0,0,0,0,1,2,1.8333334
1101500,0,1,0,0,0,0,0,0,0,0,0,0,1,1.4166666
1101559,0,1,0,0,0,0,0,0,0,0,0,1,2,1.8333334
1101609,0,0,0,0,0,0,0,0,0,0,0,1,1,1.4166666
1101708,0,1,0,0,0,0,0,0,0,0,0,0,1,1.4166666
1101757,0,0,0,0,0,0,0,0,0,1,0,1,2,1.8333334
1101807,0,1,0,0,0,0,1,0,0,0,0,1,3,2.25
1200013,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1200054,0,0,0,0,0,1,1,0,1,1,0,1,5,3.0833333
1200104,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1200138,0,0,0,0,0,1,1,0,1,1,0,1,5,3.0833333
1200179,0,0,0,0,0,1,0,0,1,0,0,1,3,2.25
1200203,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1200252,0,0,0,0,0,0,0,0,1,1,0,1,3,2.25
1200302,1,1,1,1,1,0,1,0,1,0,0,0,7,3.9166667
1200328,1,1,1,1,1,0,1,0,1,0,0,0,7,3.9166667
1200336,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1200344,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1200351,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1200385,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1200393,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1200401,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1200427,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1200435,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1200450,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1200500,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1200609,1,1,1,1,1,0,1,0,1,0,0,0,7,3.9166667
1200708,0,0,1,1,0,0,1,0,1,0,1,1,6,3.5
1200807,0,0,0,0,0,0,0,0,1,1,0,1,3,2.25
1300029,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1300060,0,1,0,0,0,0,0,0,0,0,0,0,1,1.4166666
1300086,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1300102,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1300144,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1300201,0,1,0,0,0,0,0,0,0,0,0,0,1,1.4166666
1300300,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1300409,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1300508,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1300607,0,1,0,0,0,0,0,0,0,0,0,0,1,1.4166666
1300631,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1300680,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1300706,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1300805,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1300839,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1300904,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1301001,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1301100,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1301159,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1301209,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1301308,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1301407,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1301506,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1301605,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1301654,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1301704,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1301803,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1301852,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1301902,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1301951,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1302009,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1302108,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1302207,0,0,0,0,0,0,0,0,0,0,0,0,0,1
