codigo,exist_edu,exist_cult,exist_patr,exist_saude,exist_assist,exist_seg_al,exist_dir_mulh,exist_cri_adol,atv_edu,atv_cult,atv_patri,atv_saude,atv_assist,atv_seg_al,atv_dir_mulh,atv_cri_adol,delib_edu,delib_cult,delib_pres_patri,delib_saude,delib_seg_al,delib_cri_adol,consult_sau,consult_seg_al,consult_cri_adol,consult_educ,consult_cult,consult_patri,norm_edu,norm_cult,norm_patri,norm_sau,norm_seg_ali,norm_cri_adol,fisc_edu,fisc_cult,fisc_patri,fisc_sau,fisc_seg_ali,fisc_cri_adol,d_atv_edu,d_atv_cult,d_atv_patri,d_atv_saude,d_atv_assist,d_atv_seg_al,d_atv_dir_mulh,d_atv_cri_adol,soma_exist_cons,soma_atv_cons,soma_delib_cons,soma_consult_cons,soma_norm_cons,soma_fisc_cons,eq1_exist,eq1_atv,eq1_delib,eq1_consult,eq1_norm,eq1_fisc,grau_part,municipio,estado,_merge
1100015,1,0,0,1,1,1,0,1,19,0,0,12,7,2,0,9,1,0,0,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,0,0,1,0,1,1,0,0,1,1,1,0,1,5,5,4,4,4,3,4.125,4.125,4.3333335,4.3333335,4.3333335,3.5,4.1916666,Prefeitura Municipal de Alta Floresta D'Oeste - RO,RO,matched (3)
1100023,1,1,0,1,1,1,1,1,19,12,0,23,8,8,10,6,1,1,0,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,1,1,0,1,1,1,1,1,7,7,4,4,1,4,5.375,5.375,4.3333335,4.3333335,1.8333334,4.3333335,4.3083334,Prefeitura Municipal de Ariquemes - RO,RO,matched (3)
1100031,1,0,0,1,1,0,0,0,12,0,0,11,8,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,3,3,2,1,1,2,2.875,2.875,2.6666667,1.8333334,1.8333334,2.6666667,2.5333333,Prefeitura Municipal de Cabixi - RO,RO,matched (3)
1100049,1,1,0,1,1,1,1,1,20,12,0,12,11,5,10,12,1,0,0,1,0,1,0,1,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,7,7,3,3,2,3,5.375,5.375,3.5,3.5,2.6666667,3.5,3.8583333,Prefeitura Municipal de Cacoal - RO,RO,matched (3)
1100056,1,0,0,1,1,0,1,1,0,0,0,12,13,0,6,15,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,1,0,1,1,4,4,2,2,2,3,3.5,3.5,2.6666667,2.6666667,2.6666667,3.5,2.9583335,Prefeitura Municipal de Cerejeiras - RO,RO,matched (3)
1100064,1,0,0,1,1,0,0,1,2,0,0,9,5,0,0,6,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,4,4,2,1,2,1,3.5,3.5,2.6666667,1.8333334,2.6666667,1.8333334,2.6833334,Prefeitura Municipal de Colorado do Oeste - RO,RO,matched (3)
1100072,0,0,0,1,1,0,0,1,0,0,0,15,12,0,0,10,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,3,3,2,2,1,2,2.875,2.875,2.6666667,2.6666667,1.8333334,2.6666667,2.625,Prefeitura Municipal de Corumbiara - RO,RO,matched (3)
1100080,1,0,0,1,1,0,0,1,36,0,0,18,12,0,0,16,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,4,4,3,1,3,3,3.5,3.5,3.5,1.8333334,3.5,3.5,3.3166666,Prefeitura Municipal de Costa Marques - RO,RO,matched (3)
1100098,0,0,0,1,1,1,0,1,0,0,0,12,12,0,0,7,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,3,3,3,2,1,1,2.875,2.875,3.5,2.6666667,1.8333334,1.8333334,2.8916667,Prefeitura Municipal de Espigão D'Oeste - RO,RO,matched (3)
1100106,1,1,0,1,1,0,1,1,24,15,0,12,12,0,6,10,1,1,0,1,0,1,0,0,1,1,1,0,1,1,0,1,0,1,1,1,0,1,0,1,1,1,0,1,1,0,1,1,6,6,4,3,4,4,4.75,4.75,4.3333335,3.5,4.3333335,4.3333335,4.3416667,Prefeitura Municipal de Guajará-Mirim - RO,RO,matched (3)
1100114,1,0,0,1,1,0,1,1,4,0,0,33,22,0,12,5,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,1,1,5,5,3,2,1,2,4.125,4.125,3.5,2.6666667,1.8333334,2.6666667,3.2833333,Prefeitura Municipal de Jaru - RO,RO,matched (3)
1100122,1,1,0,1,1,1,1,1,25,8,0,14,12,8,0,10,1,1,0,1,1,1,0,1,0,1,1,0,1,1,0,1,1,0,1,0,0,1,0,0,1,1,0,1,1,1,0,1,6,6,5,3,4,2,4.75,4.75,5.1666665,3.5,4.3333335,2.6666667,4.5166664,Prefeitura Municipal de Ji-Paraná - RO,RO,matched (3)
1100130,0,0,0,1,1,0,0,1,0,0,0,19,6,0,0,6,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,3,3,2,2,2,2,2.875,2.875,2.6666667,2.6666667,2.6666667,2.6666667,2.7166667,Prefeitura Municipal de Machadinho D'Oeste - RO,RO,matched (3)
