municipio,code_muni,rcl,dcl,limite_lrf,indice_lrf
Prefeitura Municipal de Alta Floresta D'Oeste - RO,1100015,57156395,-6276300,-.10980923,1.2033296
Prefeitura Municipal de Cabixi - RO,1100031,22064188,-8046359,-.36467957,1.0997237
Prefeitura Municipal de Corumbiara - RO,1100072,28049783,-7454108,-.26574567,1.1399407
Prefeitura Municipal de Espigão D'Oeste - RO,1100098,63767739,-17208865,-.2698679,1.1382651
Prefeitura Municipal de Santa Luzia D'Oeste - RO,1100296,23117169,-7768563,-.33605167,1.1113611
Prefeitura Municipal de Nova Mamoré - RO,1100338,54645774,-4960095,-.090768136,1.2110698
Prefeitura Municipal de Buritis - RO,1100452,71241095,1378883,.019355163,1.2558354
Prefeitura Municipal de Cacaulândia - RO,1100601,21197732,-2441251,-.11516567,1.2011522
Prefeitura Municipal de Campo Novo de Rondônia - RO,1100700,37454315,17093362,.45637897,1.4334874
Prefeitura Municipal de Castanheiras - RO,1100908,16464882,-4027065,-.24458511,1.1485426
Prefeitura Municipal de Chupinguaia - RO,1100924,37834811,-8487852,-.22433975,1.1567725
Prefeitura Municipal de Cujubim - RO,1100940,42453005,-5094195,-.1199961,1.1991886
Prefeitura Municipal de Governador Jorge Teixeira - RO,1101005,25506478,-1737594,-.068123639,1.2202749
Prefeitura Municipal de Mirante da Serra - RO,1101302,27079418,-19364298,-.71509284,.95727932
Prefeitura Municipal de Nova União - RO,1101435,24093081,-9307777,-.38632572,1.0909245
Prefeitura Municipal de Pimenteiras do Oeste - RO,1101468,20119043,-5224655,-.25968707,1.1424036
Prefeitura Municipal de Primavera de Rondônia - RO,1101476,14852845,-5081655,-.34213343,1.1088889
Prefeitura Municipal de São Francisco do Guaporé - RO,1101492,55855572,-10970737,-.19641258,1.1681249
Prefeitura Municipal de Urupá - RO,1101708,32185502,-3538618,-.10994447,1.2032746
Prefeitura Municipal de Amaturá - AM,1300060,28071192,202259,.0072052157,1.2508965
Prefeitura Municipal de Anamã - AM,1300086,30255947,299363,.0098943524,1.2519896
Prefeitura Municipal de Anori - AM,1300102,44481874,26024586,.58506048,1.4857969
Prefeitura Municipal de Apuí - AM,1300144,38499865,19907747,.51708615,1.458165
Prefeitura Municipal de Autazes - AM,1300300,80917407,-8909271,-.11010327,1.20321
Prefeitura Municipal de Boca do Acre - AM,1300706,58971449,2556074,.043344263,1.2655871
Prefeitura Municipal de Borba - AM,1300805,78174389,-10902257,-.13946073,1.1912761
Prefeitura Municipal de Caapiranga - AM,1300839,30857006,-222907,-.0072238701,1.245031
Prefeitura Municipal de Canutama - AM,1300904,32581825,-4891548,-.15013118,1.1869385
Prefeitura Municipal de Carauari - AM,1301001,56316865,-5050480,-.089679711,1.2115123
Prefeitura Municipal de Careiro - AM,1301100,69504856,-3803378,-.054721039,1.2257231
Prefeitura Municipal de Careiro da Várzea - AM,1301159,44584215,-605028,-.013570453,1.2424511
Prefeitura Municipal de Codajás - AM,1301308,53607611,-10141218,-.18917497,1.1710671
Prefeitura Municipal de Eirunepé - AM,1301407,68050404,375728,.0055213193,1.250212
Prefeitura Municipal de Fonte Boa - AM,1301605,56690002,2766293,.04879684,1.2678035
Prefeitura Municipal de Guajará - AM,1301654,33081763,-1574029,-.047579963,1.228626
Prefeitura Municipal de Iranduba - AM,1301852,108306042,-42497532,-.39238375,1.0884619
Prefeitura Municipal de Itapiranga - AM,1302009,25953844,7368071,.28389132,1.3633704
Prefeitura Municipal de Japurá - AM,1302108,30567946,-2650976,-.08672405,1.2127138
Prefeitura Municipal de Juruá - AM,1302207,33710562,1214191,.036018118,1.262609
Prefeitura Municipal de Lábrea - AM,1302405,85041738,2774897,.032629825,1.2612317
Prefeitura Municipal de Manaquiri - AM,1302553,50540261,21046672,.41643378,1.4172496
Prefeitura Municipal de Nhamundá - AM,1303007,36013571,-7086823,-.19678201,1.1679748
Prefeitura Municipal de Pauini - AM,1303502,36467874,636470,.017452896,1.2550621
Prefeitura Municipal de Presidente Figueiredo - AM,1303536,174030752,-9796803,-.056293517,1.2250839
Prefeitura Municipal de Rio Preto da Eva - AM,1303569,79794574,,,
Prefeitura Municipal de Santa Isabel do Rio Negro - AM,1303601,38078058,11716,.00030768375,1.2480925
Prefeitura Municipal de São Gabriel da Cachoeira - AM,1303809,85625585,-2678674,-.031283569,1.2352506
Prefeitura Municipal de São Paulo de Olivença - AM,1303908,84014771,940452,.011193889,1.2525178
Prefeitura Municipal de São Sebastião do Uatumã - AM,1303957,24685096,-4197943,-.17005982,1.1788374
