municipio,codigo,populacao,receita_total,op_credito,alienacao_bens,amortizacao_divida,outras_receitas_capital,juros_encargos_divida,prpc,prpcapita_max3k,eq1_prpcapita
Prefeitura Municipal de Alta Floresta D'Oeste - RO,1100015,25506,59833589.38,0,0,540769.9,0,0,2324.6616,2324.6616,4.9233613
Prefeitura Municipal de Ariquemes - RO,1100023,105896,279245378.38,1085593.03,120647.51,3207596.94,0,2007405.08,2576.3403,2576.3403,5.3245926
Prefeitura Municipal de Cabixi - RO,1100031,6289,24986570.21,0,104518.02,0,0,0,3956.4402,3000,6
Prefeitura Municipal de Cacoal - RO,1100049,87877,200730067.21,1765273.17,0,1623296.85,0,1508638.74,2228.4883,2228.4883,4.7700396
Prefeitura Municipal de Cerejeiras - RO,1100056,17959,54448133.58,0,0,512631.92,0,71592.16,2999.271,2999.271,5.9988379
Prefeitura Municipal de Colorado do Oeste - RO,1100064,18639,49222369.13,0,219500,92759.02,0,250793.81,2610.6184,2610.6184,5.3792396
Prefeitura Municipal de Corumbiara - RO,1100072,8749,33630589.85,0,0,294471.87,0,0,3810.2776,3000,6
Prefeitura Municipal de Costa Marques - RO,1100080,17031,42245010.2,0,0,1209106.36,0,0,2409.4829,2409.4829,5.0585852
Prefeitura Municipal de Espigão D'Oeste - RO,1100098,32712,82377931.48,0,221100,125084.54,0,11656.96,2507.3396,2507.3396,5.2145905
Prefeitura Municipal de Guajará-Mirim - RO,1100106,47048,99518738.25,0,0,703846.1899999999,0,148096.92,2097.1519,2097.1519,4.5606604
Prefeitura Municipal de Jaru - RO,1100114,55806,148658331.91,0,0,5930911.23,0,1361556.13,2533.166,2533.166,5.2557635
Prefeitura Municipal de Ji-Paraná - RO,1100122,131560,278688974.09,69481.17999999999,0,4436021.57,0,338409.03,2081.5222,2081.5222,4.5357432
Prefeitura Municipal de Machadinho D'Oeste - RO,1100130,37899,97178106.42,3034968.8,0,548158.95,0,739079.59,2450.0884,2450.0884,5.1233191
Prefeitura Municipal de Nova Brasilândia D'Oeste - RO,1100148,21670,53519761.23,0,137870,518650.04,0,0,2439.4666,2439.4666,5.1063857
Prefeitura Municipal de Ouro Preto do Oeste - RO,1100155,39840,106584439.64,0,0,449908.59,0,50592.06,2662.7495,2662.7495,5.462348
Prefeitura Municipal de Pimenta Bueno - RO,1100189,37786,99163207.40000001,0,0,2296225.48,0,0,2563.5681,2563.5681,5.3042312
Prefeitura Municipal de Porto Velho - RO,1100205,511219,1543676637.49,2827848.01,0,9901132.07,0,7806012.87,2979.4309,2979.4309,5.9672084
Prefeitura Municipal de Presidente Médici - RO,1100254,22337,51331623.47,0,0,835180.28,0,0,2260.6636,2260.6636,4.8213344
Prefeitura Municipal de Rio Crespo - RO,1100262,3790,19915900.37,0,0,96157.09,0,22148.66,5223.6396,3000,6
Prefeitura Municipal de Rolim de Moura - RO,1100288,56664,137809558.46,0,0,2698314.39,0,618986.6899999999,2373.5044,2373.5044,5.0012274
Prefeitura Municipal de Santa Luzia D'Oeste - RO,1100296,8362,28413128.88,0,0,373046.81,0,0,3353.2747,3000,6
Prefeitura Municipal de Vilhena - RO,1100304,93745,289645455.95,1441912.07,241210.66,2823590.58,0,1581637.75,3024.7705,3000,6
Prefeitura Municipal de São Miguel do Guaporé - RO,1100320,24059,72449630.81999999,0,0,605798.72,0,0,2986.1521,2986.1521,5.9779234
Prefeitura Municipal de Nova Mamoré - RO,1100338,28891,68440513.09,0,0,928679.89,0,0,2336.7773,2336.7773,4.9426765
Prefeitura Municipal de Alvorada D'Oeste - RO,1100346,16747,47916370.72,0,0,344669.83,0,157968.02,2831.1777,2831.1777,5.7308598
