codibge,uf,valor,sp
1302603,AM,532679083,0
5203559,GO,-5778970,0
4200556,SC,-855405,0
4117602,PR,-11293204,0
4316808,RS,24073319,0
3127503,MG,-891640,0
2802106,SE,-10647136,0
4206603,SC,-1842807,0
3515657,SP,-3153036,1
5209150,GO,-4732271,0
2927408,BA,-419381465,0
4214706,SC,-3956687,0
3106804,MG,-1905615,0
4321501,RS,27364114,0
4312443,RS,-1065236,0
4215752,SC,-2829637,0
3160405,MG,-2741644,0
4124400,PR,-1375201,0
3520806,SP,-2067144,1
3541059,SP,1419840,1
1100114,RO,16259223,0
3505104,SP,4135644,1
2509339,PB,4122376,0
4317004,RS,-5316202,0
4122800,PR,-3014217,0
4314506,RS,-1268387,0
4123006,PR,-531468,0
4312500,RS,-6257556,0
1100122,RO,-2928200,0
4317707,RS,-1514191,0
1200203,AC,18949535,0
3525854,SP,-328820,1
5002407,MS,-21258672,0
5103353,MT,4289571,0
4321329,RS,-2153023,0
2507903,PB,5379284,0
2304103,CE,32104700,0
4214904,SC,-1726322,0
5000609,MS,-35060702,0
1200393,AC,-1709119,0
2411403,RN,6081618,0
4320321,RS,-2244784,0
2514800,PB,3867781,0
2512788,PB,1396436,0
2503902,PB,2540974,0
3522109,SP,120235112,1
2510659,PB,538358,0
4315958,RS,-960993,0
2509206,PB,10802748,0
2508505,PB,5865899,0
4304309,RS,-1437770,0
2500304,PB,34911450,0
4204459,SC,-924238,0
4300638,RS,2377420,0
4205704,SC,-8941624,0
2501203,PB,5945124,0
2904704,BA,42146796,0
2906709,BA,65228935,0
4310207,RS,-33552739,0
4318705,RS,392674307,0
4100459,PR,3908390,0
4210035,SC,-1903101,0
2500403,PB,1252364,0
4120507,PR,-5400323,0
2919702,BA,30830392,0
2515104,PB,735169,0
4308433,RS,-5371535,0
4115804,PR,6645230,0
4104055,PR,-1223136,0
4219606,SC,-2242699,0
2509305,PB,5118185,0
2507101,PB,32954254,0
2905305,BA,7889696,0
2920700,BA,17013166,0
4218509,SC,-5072616,0
4104253,PR,6210745,0
3304557,RJ,15388380244,0
4206900,SC,-2347034,0
2412005,RN,-81809915,0
2403400,RN,1303658,0
2603926,PE,-3716339,0
2402709,RN,4879329,0
2803203,SE,30821898,0
4319372,RS,-1620222,0
3520707,SP,7176486,1
3536406,SP,-3517995,1
4307831,RS,-551519,0
3148103,MG,43698313,0
2901007,BA,49182074,0
2933455,BA,2767724,0
2516151,PB,-1397431,0
5108808,MT,-1352052,0
4310876,RS,-708997,0
5221577,GO,1490469,0
4321204,RS,45202713,0
4215695,SC,-2384928,0
3519055,SP,459144,1
4205159,SC,-4142383,0
4119509,PR,-24333155,0
3556107,SP,657249,1
4106001,PR,-1093371,0
4219507,SC,-7141638,0
4208500,SC,5249340,0
4106506,PR,-596138,0
4321352,RS,-1483041,0
4208450,SC,-26151844,0
3122801,MG,-1038436,0
5102504,MT,784979,0
4312401,RS,62001539,0
3536703,SP,-6380523,1
4316972,RS,-2011533,0
3555901,SP,-1139534,1
4303400,RS,2238935,0
2517001,PB,10079921,0
2505709,PB,261867,0
3541406,SP,93491221,1
2513109,PB,22923304,0
2915908,BA,-15164046,0
2501302,PB,28711959,0
4103024,PR,-808060,0
2508208,PB,23200598,0
2925253,BA,15834490,0
2931004,BA,36783892,0
2800308,SE,226656944,0
4217956,SC,-2535733,0
3503604,SP,668038,1
2901205,BA,22460741,0
4323457,RS,-2615571,0
3507407,SP,1005982,1
3527504,SP,-1295842,1
5101308,MT,-1125230,0
3501103,SP,-525341,1
4317301,RS,1591026,0
4216701,SC,-7157909,0
3553302,SP,-586632,1
4205357,SC,-1278111,0
2910701,BA,50033831,0
1500347,PA,272155,0
3556909,SP,-3563199,1
2501104,PB,27976733,0
2513851,PB,783787,0
4211108,SC,1417692,0
4217303,SC,-5224145,0
2902906,BA,49226486,0
3130556,MG,-450370,0
2511400,PB,-1018786,0
3504107,SP,23712736,1
2903508,BA,3838657,0
2609105,PE,5975530,0
2108009,MA,-2527004,0
2913200,BA,38020610,0
2500700,PB,24766103,0
2405405,RN,6869028,0
4314100,RS,47765135,0
2902104,BA,130337158,0
4305108,RS,286651777,0
3542107,SP,-3547346,1
4318002,RS,55347581,0
2900207,BA,245428,0
3159605,MG,-12999014,0
3143906,MG,-17260617,0
5007109,MS,-5654740,0
3510153,SP,159711,1
2926657,BA,15364493,0
2807204,SE,-2052664,0
4118402,PR,42175648,0
3523404,SP,33878595,1
2917102,BA,57336575,0
4303509,RS,-5048431,0
3529104,SP,-1552306,1
3539509,SP,2166792,1
2910305,BA,11581827,0
3119500,MG,1371792,0
4211603,SC,-12452590,0
4314175,RS,-4298249,0
2925709,BA,13921319,0
2805000,SE,1188893,0
2608453,PE,14902355,0
2609303,PE,-2378648,0
2612505,PE,10290525,0
2613701,PE,17875136,0
2609204,PE,9995421,0
2305266,CE,19662749,0
2919959,BA,-5612068,0
4308656,RS,-1933824,0
2614204,PE,57493800,0
4106852,PR,-3588334,0
2615003,PE,18917986,0
4119152,PR,-72732675,0
4318309,RS,27698800,0
4317509,RS,-3286091,0
4108700,PR,5356064,0
3555000,SP,435010,1
3504404,SP,403136,1
2304400,CE,48271949,0
3163805,MG,-794189,0
2921906,BA,3014459,0
2516904,PB,18642840,0
4305009,RS,-3326458,0
2906899,BA,5262252,0
2927705,BA,67766015,0
3111705,MG,-462137,0
2901304,BA,18178381,0
4316907,RS,8046515,0
2903953,BA,9272537,0
3556800,SP,-2000049,1
2917508,BA,26628605,0
2907707,BA,7237131,0
3203320,ES,-6809845,0
2931806,BA,11201733,0
2908507,BA,-6488672,0
5207402,GO,-9160155,0
1200401,AC,120847525,0
2933174,BA,10467722,0
3541000,SP,-212028721,1
2504033,PB,1160417,0
2503506,PB,26414814,0
4314050,RS,41840457,0
2512747,PB,748188,0
3508009,SP,13188503,1
2901106,BA,30315158,0
3555604,SP,8744310,1
4309308,RS,29898895,0
4316451,RS,10553695,0
2905156,BA,5942870,0
4300406,RS,-29296736,0
3508900,SP,4961065,1
2505238,PB,17202429,0
2917805,BA,9400585,0
2909406,BA,10620836,0
5218508,GO,-21807352,0
2919504,BA,14618,0
3160801,MG,-1306420,0
3532009,SP,4513763,1
4205175,SC,-1581493,0
4206108,SC,3226808,0
3510302,SP,-9178255,1
2919405,BA,12315509,0
3164704,MG,27649153,0
2917201,BA,5725879,0
2925303,BA,249473733,0
2806008,SE,11055254,0
5200209,GO,-1508245,0
3540507,SP,-1933535,1
4104907,PR,-20482040,0
4207601,SC,-2732448,0
4201257,SC,-1388880,0
4311007,RS,-12691983,0
4304507,RS,-3753906,0
3152006,MG,-8740714,0
4201109,SC,-1916535,0
2933158,BA,-23438156,0
4200754,SC,-2645496,0
3305505,RJ,-63607094,0
2913309,BA,9878087,0
2908705,BA,21839235,0
2500734,PB,944526,0
2515930,PB,1270702,0
2926103,BA,12434221,0
4200408,SC,-11087753,0
2605004,PE,53047694,0
3130408,MG,-1354760,0
2909000,BA,-1878736,0
